leftleg1_x,leftleg1_y,leftleg2_x,leftleg2_y,leftleg3_x,leftleg3_y,rightleg1_x,rightleg1_y,rightleg2_x,rightleg2_y,rightleg3_x,rightleg3_y,abdomen_x,abdomen_y,,
624.8671265,360.4637146,571.2736816,592.048584,574.1983643,592.7698364,680.5854492,378.8838501,727.085022,568.784668,761.6834106,560.4067383,665.6206665,594.206665,,
622.1155396,365.5515747,562.8817749,588.8356934,564.885437,591.8305054,679.3338623,380.0559998,714.1812744,515.8296509,807.5773315,504.766449,636.0925903,611.6566162,,CALCULATE THE DISTANCE AND SPEED FOR EACH LEG.
622.5122681,369.4517517,611.5361328,445.8916626,580.0696411,621.2284546,679.9082031,380.1217041,775.2648315,582.442688,775.8320923,586.0933838,665.2191162,617.9021606,,
620.975769,372.5896606,612.4168091,445.012207,594.0977783,695.0162354,677.164856,379.9092407,729.5593872,501.0361328,756.4697876,634.8812866,658.9677124,622.4969482,,
619.9036865,373.4386292,576.6303101,664.6182251,581.8205566,664.5803223,677.9069824,379.9719849,710.272644,631.2245483,745.1796875,639.0252686,656.9447632,609.5958862,,
619.1436157,373.929718,574.7171021,662.5380249,580.1427002,661.5296631,677.7305298,380.1133118,707.4716187,487.3758545,774.1120605,600.413208,651.1046143,613.274353,,
619.3084717,373.3943176,576.612793,663.0333862,576.5363159,660.3355103,676.7851563,379.3964844,722.0457764,486.0731812,737.5855713,642.4353638,647.2061157,614.8621216,,
616.1933594,377.3056946,601.2648315,462.0614319,582.3461304,670.3059692,698.8626099,384.2787781,717.3095703,453.0805359,731.539856,656.5079956,649.1276245,625.0298462,,
617.921814,372.8631897,610.4673462,445.6002502,564.6468506,678.621521,693.9359131,384.3793335,702.3077393,469.896698,746.0460205,604.6712646,662.3137207,629.5761719,,
624.1575317,377.1985168,511.2921753,423.681366,529.3891602,695.3496704,676.7230835,381.2855225,813.972229,429.0180969,788.0897827,629.3565063,657.6107178,631.272522,,
625.3876343,366.3542786,410.1483154,511.1871338,458.4050598,617.3969116,778.6865845,202.1902313,815.2348633,512.5205078,880.2428589,621.0559082,656.0713501,617.578125,,
576.4789429,345.2002258,515.3771362,422.4491882,420.468811,596.1182861,417.7507935,592.2199097,853.4395142,441.7799988,851.7637329,438.6482849,656.1303711,604.225647,,
621.1351929,376.9353333,500.3580017,472.1096802,438.5524902,635.050415,718.8496704,417.5864868,724.0675049,323.2401428,877.8206177,603.3753662,645.6323242,623.4127197,,
617.4347534,374.7577515,567.3739014,478.3936462,458.5633545,665.5263062,693.6207275,387.0024719,728.034668,329.2546082,844.1716309,663.6265259,650.281311,635.3314209,,
621.2318726,385.6447449,564.2004395,493.0104065,458.7483215,677.5874023,696.1880493,385.8187256,733.5223389,504.9295959,853.954895,659.9504395,649.0073242,631.3695068,,
622.8091431,387.9424438,597.6918945,460.5993347,460.4045105,681.0245972,697.3947144,386.1690979,726.5803223,475.0008545,904.5199585,558.7886963,645.8557129,628.124939,,
629.8049316,374.4641113,459.1753235,395.5379333,458.9870911,394.5870667,689.2900391,386.6435852,876.269165,449.921814,842.6201782,697.8071899,650.291748,621.8356934,,
629.8007813,379.3381653,526.046814,526.1209106,516.0561523,525.8901978,695.3585815,385.6844482,729.2205811,475.3733215,843.4597778,647.6066895,655.7047119,610.4434814,,
627.7565918,377.0295105,597.3707886,457.3424377,467.5115051,669.9829102,697.3546753,384.7880859,740.4334106,487.8885803,852.3809204,637.3250732,649.8228149,617.7996826,,
627.836853,377.0734863,600.6418457,459.8010254,495.0256653,701.9602051,697.2856445,384.2253723,736.885376,483.4321899,868.9227295,590.7964478,640.9063721,623.9307251,,
627.7600708,385.9611816,598.7768555,458.4818726,505.2655334,706.2692261,695.5327759,385.563324,727.2868652,480.6195679,852.2426758,651.3106079,638.5498657,632.7143555,,
616.8653564,361.1470032,605.2009888,457.6987915,524.6928711,716.8255005,696.3880005,384.3056335,709.0950317,476.7807922,854.9046631,664.8688965,639.3414307,636.3328857,,
616.5661621,363.0623169,594.0333862,462.2922363,528.8037109,730.9691162,697.7697754,385.473999,709.8313599,485.3916321,858.2181396,662.3236084,639.0369263,634.5135498,,
618.0772095,365.1318359,594.9991455,462.7786865,538.8264771,729.7467651,696.5452881,386.5103455,723.8461304,478.7052612,858.9197998,628.7302856,641.3563232,630.5974731,,
618.7469482,365.7569885,607.5562134,453.9998169,559.4842529,717.8601074,696.2306519,385.1801147,721.7706299,464.7978516,852.9462891,609.3216553,641.6185303,636.6685181,,
618.7887573,365.9145813,586.8521118,470.6645508,550.9619141,730.3553467,696.5578613,383.8645935,697.1461792,464.539032,860.9055176,594.4974365,640.173645,633.1776733,,
626.3366699,384.2108154,599.6924438,463.9139404,535.9885864,697.3933105,687.8172607,382.1430969,700.2600708,460.1694031,878.2391357,537.6316528,641.1160889,626.1126709,,
627.1384277,371.3259888,568.7350464,412.4284973,546.3140259,465.7398071,716.940918,283.6427917,783.6693726,489.6542053,879.6646729,590.6397705,646.3743286,592.5125122,,
585.097229,297.3611145,501.3015442,486.8669739,440.3957214,551.2023315,674.3157959,376.4818115,774.9182739,476.6081238,862.2629395,592.9918213,639.2767944,609.4361572,,
627.699707,372.6216125,598.2296753,461.0375366,458.3824463,643.1166992,681.4592285,382.0942078,714.1376343,458.8662415,860.053894,643.7954102,644.7047729,634.9031982,,
627.7207642,385.9594116,606.5177612,451.4128418,454.7850647,641.2371216,694.9268188,384.1176147,716.9817505,461.913147,852.6785278,649.15448,645.2796631,639.9439697,,
618.6167603,366.6168518,598.5687256,462.6787109,458.2901917,664.5304565,695.0830078,384.2911377,719.4273071,481.8940735,844.6690063,669.5307617,647.5377808,635.550415,,
618.4650879,363.8540039,611.3983154,448.1375427,460.4573364,612.3255005,696.4431763,383.1596069,711.8737793,457.6613464,832.6960449,603.0974121,648.6754761,629.4815674,,
619.1855469,361.4801025,617.6622314,447.0539551,503.4859009,610.1253662,695.8341064,383.6614075,704.2312012,451.9677734,864.093689,556.7224121,648.5991211,629.1193237,,
618.0415039,362.7607727,602.8401489,459.2431641,470.4880981,630.7198486,697.8665161,382.9720459,726.4262085,474.2317505,851.067749,657.6303711,649.1105957,626.3203735,,
618.6516113,361.2460022,597.0559082,458.9884949,469.7845459,625.8939819,699.7714844,381.0922852,712.0844727,460.1227722,845.2437134,659.1991577,648.4196167,626.7612915,,
618.5073242,361.1680298,610.37854,451.7917786,478.6853943,628.322937,701.7249756,380.2169495,714.3046265,461.8626404,844.4220581,650.0094604,645.0946655,641.1287231,,
618.52771,361.4438782,617.8344116,353.7338562,499.1628723,645.3237305,702.6099854,378.8135071,715.4639282,457.4563904,792.3068237,638.9981689,645.6190186,640.1207275,,
618.9749756,364.9247131,606.5514526,456.2362061,486.4057922,670.8355713,701.4628906,380.6950989,717.4046631,461.3959656,779.9037476,658.4348755,651.2798462,625.9647217,,
618.6362305,365.8314819,601.4793091,464.0099487,496.5448608,688.6899414,703.4434204,379.1838989,721.3465576,472.8370056,773.484436,677.6261597,652.3922729,622.2019653,,
618.3457642,363.8716431,607.0061646,453.5228882,512.897583,684.453186,702.1692505,379.5069275,719.7455444,460.9809265,777.2684937,671.1513672,649.6115112,627.1055908,,
619.1483154,360.6208801,610.0863647,455.5613098,541.0108643,657.0717773,691.9084473,386.3403015,705.5200195,441.5245667,695.7081909,387.7522583,647.8858643,624.0073242,,
628.5117798,384.4298096,605.1870117,457.9463501,494.8677673,666.1990356,693.1119995,385.1766357,698.3713989,474.4937134,755.8135376,647.3366699,650.6900024,604.7109375,,
619.4981079,358.9950867,612.1303101,447.0355835,498.3189087,661.0084839,692.300415,385.5887146,710.2973022,452.920105,772.6461792,655.5911255,647.4782715,624.6749878,,
619.2765503,360.9375,607.6394043,450.0094299,499.7209778,666.1792603,696.7357788,384.1376648,711.9517212,456.2163086,767.572998,661.8661499,647.7659302,626.6415405,,
618.868042,362.0707397,604.5045776,456.9703064,524.314209,682.3621216,702.3676758,379.6005554,719.588501,466.8339539,757.3415527,686.4882813,650.0690918,621.2354126,,
620.4028931,361.4389954,612.6663208,446.9976196,496.5751953,672.0922241,702.2316895,379.1738281,711.1455688,455.2464905,741.6699829,670.8725586,647.295105,630.5805664,,
630.0326538,372.1899109,591.0967407,497.1901855,447.2705994,575.7442627,688.7105713,380.2107849,768.0283203,469.7008362,752.4794922,586.9278564,643.1287231,613.3359375,,
540.7400513,118.3225098,461.8165283,412.4635315,431.0897217,567.0750732,724.7954712,285.7578735,808.684021,465.081604,888.9840698,582.6496582,647.1151123,602.3144531,,
551.6514893,260.4751587,602.6903687,456.0501404,463.1215515,645.0393066,741.7182007,343.3905029,701.6135864,480.6318054,790.2678833,737.5046997,643.1888428,614.4724731,,
628.6903687,369.9530945,605.2355347,456.1271362,464.4400635,650.8754272,672.1995239,378.4154968,742.9192505,470.344696,762.3724365,746.3789063,644.3302612,613.6938477,,
632.164978,372.7686462,567.998291,338.7783813,442.2754822,549.1948853,671.949646,374.4287415,744.9064941,473.8754578,828.5872803,581.3842163,643.565918,602.6837158,,
593.9160767,306.105835,480.9269714,548.4912109,425.2854309,490.5547791,675.880127,374.4612122,771.1343384,444.9936829,815.8264771,729.1455078,643.3805542,589.1643066,,
552.4683228,220.8145905,456.5350037,367.7516479,421.8761902,577.3320923,706.1119385,307.8889465,854.0042725,446.3050537,853.4912109,445.0788574,654.4664307,590.727478,,
590.7606201,294.7484741,561.3231201,426.0360718,423.4420776,582.3666382,674.1621094,375.973175,805.2927246,502.8317566,825.2025757,651.8189087,646.590271,608.1154175,,
579.8956299,328.1495056,607.0493164,451.412323,471.6774597,648.6483765,676.5967407,378.332489,807.744873,494.8887329,810.5690308,671.6157227,645.756897,612.0152588,,
628.319458,359.1313782,658.4448242,607.0206909,487.4746704,649.4019775,695.0430298,378.8719482,782.2156372,481.9583435,796.6853027,668.8081665,647.1763916,612.4865723,,
565.0499268,366.6483459,564.4603271,418.9074402,461.2850647,584.5923462,689.4816895,381.5325012,700.9176025,453.099762,777.2826538,613.0639648,641.9259644,613.1048584,,
634.3363647,374.1480408,512.8356323,455.2575684,430.0601807,494.3439331,674.2905884,380.6813965,696.5074463,475.6467285,877.1265869,659.5769653,638.1032715,602.9682617,,
584.1707153,337.2777405,604.93927,450.6439209,417.5339355,564.0357056,673.7800903,380.7349548,792.5065308,469.6734924,802.9828491,718.6958008,646.0743408,593.3610229,,
626.5664673,370.5200806,601.5786743,452.6101379,435.8623047,590.1872559,694.2356567,383.0491638,789.8360596,469.1415405,779.2254028,706.4641724,645.3540649,611.1231079,,
630.7252197,371.3962097,609.0213623,450.1296387,431.0763855,610.8773804,694.0521851,388.5748596,701.5997925,463.7109375,723.0165405,580.7745972,648.7727661,612.618103,,
538.7213135,268.9424744,653.6742554,595.2489624,413.3758545,509.2834473,678.6897583,386.3830872,702.7451172,443.2280273,796.2236328,593.3712158,644.4711914,592.4627686,,
511.5406189,309.4350281,437.3583069,426.9989624,405.4933777,502.4363403,716.4515991,302.1855774,883.4671631,601.7039795,880.4910278,603.7731323,643.8788452,576.9223022,,
528.6737061,270.4310303,579.1589355,342.9651489,411.8340149,497.413208,753.2003784,164.1522675,739.2949829,546.9755859,889.2456055,486.2067566,636.5349121,574.112854,,
498.3762817,124.407402,932.1523438,400.2992859,409.978241,560.0657349,765.5551758,120.3686905,935.9258423,400.2816467,834.1538696,437.8713684,641.930481,570.3577881,,
524.1766968,224.9906921,471.2628479,329.3947754,418.7950745,472.2010498,756.0826416,307.2817688,838.6896362,442.5205383,883.9957886,556.6482544,641.9126587,574.8591309,,
568.2401733,256.6582642,476.7359009,321.5050964,474.6394348,324.1912231,674.1522217,380.4593506,777.3135376,462.717804,773.3239136,465.2207031,648.8661499,581.2531738,,
576.3568726,278.281189,444.1194458,403.821228,443.4118958,401.958374,688.0548096,385.3778381,817.2426147,476.793457,837.6400146,701.0639648,664.6791992,596.617981,,
662.454834,559.8778687,508.9185181,486.3887939,433.1950073,384.4663391,748.0927124,261.8349304,813.4885254,485.1991882,919.7209473,518.1235962,663.949646,566.927124,,
626.9500122,376.7833862,463.3929138,458.2965088,480.1954651,578.8753662,676.152832,382.7154236,851.8947144,441.3395081,822.7321167,654.3224487,660.9501343,537.5199585,,
630.6234131,370.7065125,492.0331116,449.5191956,430.6637268,394.2498779,674.968811,380.26474,493.596405,450.2114868,873.2258911,495.8858948,669.5890503,567.6201782,,
579.2706909,339.2881775,425.1047974,460.0256348,414.3615417,468.0979614,675.6787109,381.9373779,822.3930664,526.2830811,890.9018555,499.2696533,660.894165,582.4779053,,
633.4653931,375.7676392,482.7937012,466.4718628,440.9546814,580.7266235,672.3521729,381.8074036,846.2156982,487.275177,822.0383911,671.5108032,661.1716919,567.6213989,,
631.7623901,375.7964783,429.5016785,422.8829956,429.0357361,424.261261,673.9837646,382.5457764,881.5440674,583.7947388,875.5756836,580.2104492,671.2646484,591.9475098,,
633.2127075,379.1514893,402.9804688,463.4707947,433.7500305,616.3492432,673.2494507,382.1268005,804.3845215,520.9626465,869.1270142,374.0541077,670.9915771,598.2064209,,
632.2000732,377.6779785,415.4781799,439.1526489,659.9602661,561.8516235,672.2524414,382.1777039,798.9088745,519.1016235,883.1606445,519.4360962,659.2935181,561.8294067,,
626.6940308,383.2424927,512.4765625,432.5900879,504.5532837,550.9081421,673.2754517,386.2565918,800.5274048,543.1542358,799.3741455,535.6466064,674.3518066,589.1329956,,
621.7403564,360.2974548,390.4120483,459.5379639,390.3174133,516.9055176,675.3434448,381.1701965,797.2059937,534.1512451,799.7341309,501.1031189,631.2230835,574.2939453,,
632.6171875,376.4630432,531.2606201,469.2905884,472.2132263,669.7495117,672.6192017,382.5894775,766.3890991,463.2094421,720.4606934,661.0907593,639.8410645,581.2544556,,
563.9237671,363.2227783,433.8659973,427.7377319,420.7396545,547.47052,678.1771851,379.0802307,781.6014404,439.085968,830.4180298,592.4940186,633.1172485,577.019043,,
499.8785095,164.3341217,514.8927612,456.4613037,516.9030762,222.8825378,683.9785156,381.5530701,858.890564,388.4376526,874.3381348,586.111145,641.1767578,582.9840088,,
495.8183899,151.3594513,433.7520447,385.2929688,515.420166,243.3877258,687.1397705,307.12323,835.6618042,485.5780029,858.682251,638.8587036,635.7683105,590.9743042,,
535.1591187,112.5025406,540.5891113,556.3436279,413.5939331,464.4370117,536.3317261,113.1343384,840.3457031,484.7643738,822.6887207,661.3134155,632.5045776,595.9144897,,
492.8103027,196.8003235,534.5237427,457.7642212,427.135498,579.7977905,719.979187,181.4445038,692.6568604,451.0284119,789.6640625,695.0366821,622.0246582,600.7623291,,
526.2750854,244.9581604,386.5279541,471.3199158,422.4725647,560.3909912,688.8963013,303.7249451,787.2009277,433.134552,800.3717041,694.005127,624.8358154,599.9138184,,
515.2285156,266.2359009,523.2907104,404.7850647,441.0323181,371.6204224,689.7382813,304.5481262,692.5028687,304.0606689,860.8987427,607.6001587,640.1349487,575.0958252,,
583.9441528,269.5824585,502.5971069,466.627533,501.2872925,664.0418701,677.4320068,302.2932129,857.6621704,428.7602844,831.1949463,644.0819092,645.7124634,577.1105347,,
452.5518188,368.431366,452.8587646,368.3684082,417.219635,516.7723999,716.2001953,240.3938751,703.9487305,450.9385986,854.8914185,601.9800415,622.1107178,577.8352661,,
608.4707031,590.251709,474.106842,413.2140808,411.1083374,519.4946289,750.3856201,355.7895203,843.6585693,345.5588074,858.2509766,630.0570679,619.3430786,584.2543945,,
532.7473755,122.2383804,534.2373657,460.000885,415.5229797,610.7478638,532.4549561,119.9005585,813.0648193,450.1514893,853.1437378,642.5285034,616.8008423,597.0081177,,
552.9586182,152.6807404,516.7333984,456.0636902,460.6390686,674.5378418,718.6997681,245.8751831,720.1781616,249.9233704,874.8071899,390.6265564,618.1365967,604.5863647,,
483.0675049,161.447876,472.4047852,402.2755737,481.3018799,692.0358887,716.2773438,274.1655273,830.5790405,469.7322083,748.5526733,760.7758179,627.0852661,607.163147,,
535.3894043,280.2876587,432.5119324,430.1399841,450.782135,633.8909302,684.486145,384.0660095,846.5392456,500.2515259,738.4780273,769.9298096,627.1034546,598.1795044,,
519.4991455,307.0410461,465.1679382,389.0988159,539.7723389,557.1503906,680.0458374,388.286499,822.2345581,421.0794983,840.0332031,593.760437,629.1634521,599.2623291,,
534.1835938,245.2519684,493.9102783,362.8790283,447.4944153,540.1394043,680.9833984,388.9081726,691.0120239,309.3284302,833.7838135,630.0151978,630.2908325,603.3954468,,
512.7717285,199.2319031,469.3748779,393.3996277,437.6517029,537.5269165,679.4033203,387.0477905,829.1953735,382.2841187,834.5301514,651.6851807,626.9251709,600.9155884,,
491.3310242,145.2081909,488.0628967,471.2560425,456.0453186,601.0785522,705.786438,285.5505981,721.9839478,301.8498535,808.8905029,682.767334,625.2661743,603.5411987,,
692.7857056,196.1184235,609.4400635,449.4433899,435.5503235,544.0727539,699.9806519,195.6916504,849.5605469,485.5669861,784.6465454,709.2980347,618.8781738,602.4320679,,
616.9174805,593.1863403,535.7039185,548.0461426,474.4612427,512.1806641,696.0309448,294.0062866,737.6719971,583.6977539,767.4180908,760.8424683,624.8197632,593.8947144,,
550.6992188,229.7624969,472.3180847,326.2250061,470.7037659,327.2000732,681.5418701,383.817749,896.5281982,481.6720886,761.3500366,745.8272705,633.0351563,592.4651489,,
556.2134399,126.7324448,536.3077393,553.1845093,421.3252563,423.0510864,676.3075562,388.4040222,826.5271606,517.232666,762.7977905,750.3876343,638.6459961,600.5854492,,
626.5609131,361.3089905,532.7296143,476.7859802,406.2161255,528.5499268,688.0673828,380.2052917,819.0606079,544.9620361,786.8029785,734.9849854,646.5006104,585.4267578,,
625.3826294,371.2970276,598.6569824,453.5000916,516.7233887,660.9358521,677.2970581,378.776123,821.6261597,535.168396,780.5570068,715.7512207,648.9058228,581.0402222,,
620.7305298,374.1147156,599.0133057,449.2049866,548.7953491,663.8146973,680.0422363,378.4757996,800.362793,481.0260925,819.5870972,678.1181641,646.9533081,593.0267944,,
575.0318604,350.1487427,595.743103,498.0697021,488.3269043,588.034668,767.3120117,273.5410156,824.2807617,475.1044922,857.9923706,636.4577637,663.3793945,607.3042603,,
