scorer,,,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai
bodyparts,,,head,head,leftleg1,leftleg1,leftleg2,leftleg2,leftleg3,leftleg3,rightleg1,rightleg1,rightleg2,rightleg2,rightleg3,rightleg3,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img0346.png,458.3066433591122,152.74584079049782,,,458.3066433591122,164.71193105190045,640.1912153324317,359.1608977996928,460.10155689832254,147.9594046859368,473.2642561858654,147.9594046859368,478.64899680349663,158.13058140812902,478.64899680349663,168.90006264339135
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img0478.png,405.6558462089407,158.13058140812902,,,406.852455235081,168.90006264339135,,,,,420.61345903569395,152.1475362774277,,,428.39141770560565,168.90006264339135
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img0483.png,406.2541507220109,158.13058140812902,,,406.852455235081,167.10514910418095,,,,,420.01515452262385,153.34414530356796,,,428.39141770560565,167.10514910418095
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img0531.png,404.45923718280045,158.72888592119912,405.0575416958706,169.49836715646148,415.2287184180628,170.09667166953162,,,,,418.2202409834135,153.9424498166381,,,428.39141770560565,167.70345361725109
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img0587.png,403.2626281566602,159.9254949473394,404.45923718280045,167.70345361725109,413.4338048788524,168.90006264339135,,,,,417.0236319572732,151.54923176435756,,,428.39141770560565,165.9085400780407
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img0748.png,204.02722530430685,123.42891965006147,196.84757114746526,125.22383318927184,199.2407891997458,138.3865324768147,208.81366140886786,146.76279565979652,204.02722530430685,115.05265646707964,214.7967065395692,124.02722416313158,219.58314264413025,133.00179185918353,214.7967065395692,142.57466406830562
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img0819.png,452.92190274148106,114.45435195400951,460.6998614113927,112.65943841479911,460.6998614113927,101.29165266646663,455.91342530683164,88.12895337892377,449.3320756630602,115.65096098014978,440.35750796700825,104.28317523181728,440.35750796700825,89.92386691813417,448.13546663692,88.12895337892377
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img0830.png,506.7693089177927,190.43902511391605,509.16252697007326,186.25089352242512,504.3760908655122,175.48141228716278,496.59813219560056,170.09667166953162,512.154049535424,194.62715670540695,490.61508706489917,192.23393865312644,,,488.22186901261864,173.68649874795238
